Dataset name,PMID,Run ID,GSA,NCBI BioProject,SRA Sample ID,BioSample ID,Sample Name/Alias,Batch,Organism,Cultivar,GM,Genotype,Dev stage,Zadok scale of dev,Tissue,Treatment,Instrument,Library layout,PO dev general,PO dev narrow,PO tissue,Metadata,Read length (bp),Download link to all samples in project
iamsls,31910796,CRR088951,CRA002161,,,SAMC117513,Va706A,7,Triticum aestivum,Va706A,mut,Va706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,," Ae. vavilovii cytoplasm, male sterility",,
iamsls,31910796,CRR088950,CRA002161,,,SAMC117512,Va706A,7,Triticum aestivum,Va706A,mut,Va706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,," Ae. vavilovii cytoplasm, male sterility",,
iamsls,31910796,CRR088949,CRA002161,,,SAMC117511,Va706A,7,Triticum aestivum,Va706A,mut,Va706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,," Ae. vavilovii cytoplasm, male sterility",,
iamsls,31910796,CRR088948,CRA002161,,,SAMC117510,K706A,8,Triticum aestivum,K706A,mut,K706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Aegilops kotschyi cytoplasm, male sterility",,
iamsls,31910796,CRR088947,CRA002161,,,SAMC117509,K706A,8,Triticum aestivum,K706A,mut,K706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Aegilops kotschyi cytoplasm, male sterility",,
iamsls,31910796,CRR088946,CRA002161,,,SAMC117508,K706A,8,Triticum aestivum,K706A,mut,K706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Aegilops kotschyi cytoplasm, male sterility",,
multiovary wheat,31165748,SRR7106399 ,,PRJNA454376 ,SRS3253224,SAMN09005723,Mo_HC,1,Triticum aestivum,DUOIIxTZI,mut,Mo_HC,Young spike 2-6 mm long,,spike,mutant,Illumina HiSeq 4000,paired,,,,Mo_HC mono-ovary trait F1 = cross of TZI (female) + DUOII (male) parent,150,https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA454376
multiovary wheat,31165748,SRR7106400,,PRJNA454376 ,SRS3253223,SAMN09005724,Mu_NC,2,Triticum aestivum,DUOIIxTZI,mut,Mu_NC,Young spike 2-6 mm long,,spike,mutant,Illumina HiSeq 4000,paired,,,,Mu_NC multi-ovary trait F1 = cross of DUOII (female) + TZI (male) parent,150,
multiovary wheat,31165748,SRR7106401 ,,PRJNA454376 ,SRS3253222,SAMN09005721,Mo_HC,1,Triticum aestivum,DUOIIxTZI,mut,Mo_HC,Young spike 2-6 mm long,,spike,mutant,Illumina HiSeq 4000,paired,,,,Mo_HC mono-ovary trait F1 = cross of TZI (female) + DUOII (male) parent,150,
multiovary wheat,31165748,SRR7106402,,PRJNA454376 ,SRS3253220,SAMN09005722,Mo_HC,1,Triticum aestivum,DUOIIxTZI,mut,Mo_HC,Young spike 2-6 mm long,,spike,mutant,Illumina HiSeq 4000,paired,,,,Mo_HC mono-ovary trait F1 = cross of TZI (female) + DUOII (male) parent,150,
multiovary wheat,31165748,SRR7106403,,PRJNA454376 ,SRS3253221,SAMN09005725,Mu_NC,2,Triticum aestivum,DUOIIxTZI,mut,Mu_NC,Young spike 2-6 mm long,,spike,mutant,Illumina HiSeq 4000,paired,,,,Mu_NC multi-ovary trait F1 = cross of DUOII (female) + TZI (male) parent,150,
multiovary wheat,31165748,SRR7106404,,PRJNA454376 ,SRS3253219,SAMN09005726,Mu_NC,2,Triticum aestivum,DUOIIxTZI,mut,Mu_NC,Young spike 2-6 mm long,,spike,mutant,Illumina HiSeq 4000,paired,,,,Mu_NC multi-ovary trait F1 = cross of DUOII (female) + TZI (male) parent,150,
drought tolerance,28484474,SRR5383964,,PRJNA380841,SRS2076531,SAMN06649952,D9_3_1,1,Triticum aestivum,Luyuan502,wt,wt,grain formation,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T9 block D, drought resistant",125/150,https://www.ncbi.nlm.nih.gov/sra?linkname=bioproject_sra_all&from_uid=380841
drought tolerance,28484474,SRR5383963,,PRJNA380841,SRS2116499,SAMN06649951,D9_2_1,1,Triticum aestivum,Luyuan502,wt,wt,grain formation,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T9 block D, drought resistant",125/150,
drought tolerance,28484474,SRR5383962,,PRJNA380841,SRS2116498,SAMN06649950,D9_1_1,1,Triticum aestivum,Luyuan502,wt,wt,grain formation,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T9 block D, drought resistant",125/150,
drought tolerance,28484474,SRR5383961 ,,PRJNA380841,SRS2116496,SAMN06649949,C9_3_1,2,Triticum aestivum,Luyuan502,wt,wt,grain formation,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T9 block C, drought resistant",125/150,
drought tolerance,28484474,SRR5383960,,PRJNA380841,SRS2076530,SAMN06649948,C9_2_1,2,Triticum aestivum,Luyuan502,wt,wt,grain formation,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T9 block C, drought resistant",125/150,
drought tolerance,28484474,SRR5383959 ,,PRJNA380841,SRS2116497,SAMN06649947 ,C9_1_1,2,Triticum aestivum,Luyuan502,wt,wt,grain formation,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T9 block C, drought resistant",125/150,
drought tolerance,28484474,SRR5383957,,PRJNA380841,SRS2076529,SAMN06649946,D8_3_1,3,Triticum aestivum,Luyuan502,wt,wt,flowering stage,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T8 block D, drought resistant",125/150,
drought tolerance,28484474,SRR5383955,,PRJNA380841,SRS2116495,SAMN06649944,D8_2_1,3,Triticum aestivum,Luyuan502,wt,wt,flowering stage,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T8 block D, drought resistant",125/150,
drought tolerance,28484474,SRR5383954,,PRJNA380841,SRS2116494,SAMN06649943,D8_1_1,3,Triticum aestivum,Luyuan502,wt,wt,flowering stage,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T8 block D, drought resistant",125/150,
drought tolerance,28484474,SRR5383952 ,,PRJNA380841,SRS2076528,SAMN06649942,C8_3_1,4,Triticum aestivum,Luyuan502,wt,wt,flowering stage,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T8 block C, drought resistant",125/150,
drought tolerance,28484474,SRR5383950,,PRJNA380841,SRS2076527,SAMN06649941,C8_2_1,4,Triticum aestivum,Luyuan502,wt,wt,flowering stage,,ear,control,Illumina HiSeq 2500,paired,,,,"timepoint T8 block C, drought resistant",125/150,
drought tolerance,28484474,SRR5383948 ,,PRJNA380841,SRS2116493,SAMN06649940,C8_1_1,4,Triticum aestivum,Luyuan502,wt,wt,flowering stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T8 block C – probably ear sample!!, drought resistant",125/150,
drought tolerance,28484474,SRR5383947 ,,PRJNA380841,SRS2116492,SAMN06649938,C6_3_1,5,Triticum aestivum,Luyuan502,wt,wt,tetrad booting stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T6 block C – block D?, drought resistant",125/150,
drought tolerance,28484474,SRR5383945,,PRJNA380841,SRS2076526,SAMN06649939,C6_2_1,5,Triticum aestivum,Luyuan502,wt,wt,tetrad booting stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T6 block C – block D?, drought resistant",125/150,
drought tolerance,28484474,SRR5383944,,PRJNA380841,SRS2076525,SAMN06649937,C6_1_1,5,Triticum aestivum,Luyuan502,wt,wt,tetrad booting stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T6 block C – block D?, drought resistant",125/150,
drought tolerance,28484474,SRR5383941,,PRJNA380841,SRS2116491,SAMN06649936 ,A6_3_1,6,Triticum aestivum,Luyuan502,wt,wt,tetrad booting stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T6 block A, drought resistant",125/150,
drought tolerance,28484474,SRR5383938,,PRJNA380841,SRS2076524,SAMN06649935,A6_2_1,6,Triticum aestivum,Luyuan502,wt,wt,tetrad booting stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T6 block A, drought resistant",125/150,
drought tolerance,28484474,SRR5383936 ,,PRJNA380841,SRS2076523,SAMN06649934,A6_1_1,6,Triticum aestivum,Luyuan502,wt,wt,tetrad booting stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T6 block A, drought resistant",125/150,
drought tolerance,28484474,SRR5383935,,PRJNA380841,SRS2076522,SAMN06649915,C5_3_1,7,Triticum aestivum,Luyuan502,wt,wt,anther differentiation stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T5 block C – block D?, drought resistant",125/150,
drought tolerance,28484474,SRR5383934,,PRJNA380841,SRS2076518,SAMN06649914,C5_2_1,7,Triticum aestivum,Luyuan502,wt,wt,anther differentiation stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T5 block C – block D?, drought resistant",125/150,
drought tolerance,28484474,SRR5383933,,PRJNA380841,SRS2076245,SAMN06649913,C5_1_1,7,Triticum aestivum,Luyuan502,wt,wt,anther differentiation stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T5 block C – block D?, drought resistant",125/150,
drought tolerance,28484474,SRR5383901,,PRJNA380841,SRS2076487,SAMN06649912,A5_3_1,8,Triticum aestivum,Luyuan502,wt,wt,anther differentiation stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T5 block A, drought resistant",125/150,
drought tolerance,28484474,SRR5383900,,PRJNA380841,SRS2076486,SAMN06649911,A5_2_1,8,Triticum aestivum,Luyuan502,wt,wt,anther differentiation stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T5 block A, drought resistant",125/150,
drought tolerance,28484474,SRR5383650,,PRJNA380841,SRS2076246,SAMN06649910,A5_1_1,8,Triticum aestivum,Luyuan502,wt,wt,anther differentiation stage,,leaf,control,Illumina HiSeq 2500,paired,,,,"timepoint T5 block A, drought resistant",125/150,
thermo-sensitive male sterility,31729646,SRR9593823,,PRJNA550982 ,SRS5022090,SAMN12136472,Asg-3,2,Triticum aestivum,4110s,mut,mut,later uninucleate stage,50,anther,highT,Illumina HiScanSQ,paired,,,,"Asg 22/20 celsius  high T, male sterility",,https://www.ncbi.nlm.nih.gov/Traces/study/?query_key=4&WebEnv=NCID_1_1564079_130.14.22.33_5555_1589366262_1775034258_0MetA0_S_HStore&o=acc_s%3Aa
thermo-sensitive male sterility,31729646,SRR9593824,,PRJNA550982 ,SRS5022089,SAMN12136471,Asg-2,2,Triticum aestivum,4110s,mut,mut,later uninucleate stage,50,anther,highT,Illumina HiScanSQ,paired,,,,"Asg 22/20 celsius  high T, male sterility",,
thermo-sensitive male sterility,31729646,SRR9593825,,PRJNA550982 ,SRS5022088,SAMN12136468,Asd-2,1,Triticum aestivum,4110s,mut,mut,later uninucleate stage,50,anther,lowT,Illumina HiScanSQ,paired,,,,"Asd 17/15 celsius  low T, male sterility",,
thermo-sensitive male sterility,31729646,SRR9593826,,PRJNA550982 ,SRS5022087,SAMN12136467,Asd-1,1,Triticum aestivum,4110s,mut,mut,later uninucleate stage,50,anther,lowT,Illumina HiScanSQ,paired,,,,"Asd 17/15 celsius  low T, male sterility",,
thermo-sensitive male sterility,31729646,SRR9593827,,PRJNA550982 ,SRS5022086,SAMN12136470,Asg-1,2,Triticum aestivum,4110s,mut,mut,later uninucleate stage,50,anther,highT,Illumina HiScanSQ,paired,,,,"Asg 22/20 celsius  high T, male sterility",,
thermo-sensitive male sterility,31729646,SRR9593828,,PRJNA550982 ,SRS5022085,SAMN12136469,Asd-3,1,Triticum aestivum,4110s,mut,mut,later uninucleate stage,50,anther,lowT,Illumina HiScanSQ,paired,,,,"Asd 17/15 celsius  low T, male sterility",,
pistillody stamen,25886815,SRR1177761 ,,PRJNA239299,SRS562584,SAMN02662075,S,1,Triticum aestivum,CS,wt,CSTP,spike formation stage,,stamen,control,Illumina HiSeq 2000,paired,,,,stamen in CSTP ,100,
pistillody stamen,25886815,SRR1177760,,PRJNA239299,SRS562583,SAMN02662073,PS,2,Triticum aestivum,HTS-1,mut,HTS-1,spike formation stage,,stamen,mutant,Illumina HiSeq 2000,paired,,,,"pistillody stamen in HTS-1, 3-6 pistills/floret",100,
pistillody stamen,25886815,SRR1175868,,PRJNA239299,SRS561346,SAMN02662074,P,3,Triticum aestivum,CS,wt,CSTP,spike formation stage,,pistil,control,Illumina HiSeq 2000,paired,,,,Pistil in CSTP,100,
meiosis,29581960,1,,website,,,1A,1,Triticum aestivum,CS,wt,wt,latent_lepto,,anther,control,Illumina HiSeq 2000,paired,,,,,100,https://urgi.versailles.inra.fr/files/RNASeqWheat/Meiosis/
meiosis,29581960,2,,website,,,1B,1,Triticum aestivum,CS,wt,wt,latent_lepto,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
meiosis,29581960,3,,website,,,2A,2,Triticum aestivum,CS,wt,wt,diplo_dia,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
meiosis,29581960,4,,website,,,2B,2,Triticum aestivum,CS,wt,wt,diplo_dia,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
meiosis,29581960,5,,website,,,3A,3,Triticum aestivum,CS,wt,wt,zygo_pachy,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
meiosis,29581960,6,,website,,,3B,3,Triticum aestivum,CS,wt,wt,zygo_pachy,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
meiosis,29581960,7,,website,,,4A,4,Triticum aestivum,CS,wt,wt,metaphaseI,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
meiosis,29581960,8,,website,,,4B,4,Triticum aestivum,CS,wt,wt,metaphaseI,,anther,control,Illumina HiSeq 2000,paired,,,,,100,
developmental time course series,25035497,ERR424721,,PRJEB5314,ERS399947,SAMEA2342263,grain_Z85_rep1,3,Triticum aestivum,CS,wt,wt,,85,grain,control,Illumina HiSeq 2000,paired,,,,,,https://www.ncbi.nlm.nih.gov/Traces/study/?query_key=20&WebEnv=NCID_1_1564079_130.14.22.33_5555_1589366262_1775034258_0MetA0_S_HStore&o=acc_s%3Aa
developmental time course series,25035497,ERR424724,,PRJEB5314,ERS399929,SAMEA2342245,spike_Z65_rep1,12,Triticum aestivum,CS,wt,wt,,65,spike,control,Illumina HiSeq 2000,paired,,,,,,Metadata from Thomas’s Yaml file
developmental time course series,25035497,ERR424726,,PRJEB5314,ERS399951,SAMEA2342267,leaf_Z10_rep1,4,Triticum aestivum,CS,wt,wt,,10,leaf,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424727,,PRJEB5314,ERS399926,SAMEA2342242,root_Z39_rep1,9,Triticum aestivum,CS,wt,wt,,39,root,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424728,,PRJEB5314,ERS399950,SAMEA2342266,stem_Z30_rep1,13,Triticum aestivum,CS,wt,wt,,30,stem,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424730,,PRJEB5314,ERS399956,SAMEA2342271,grain_Z71_rep1,1,Triticum aestivum,CS,wt,wt,,71,grain,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424732,,PRJEB5314,ERS399928,SAMEA2342244,root_Z39_rep2,9,Triticum aestivum,CS,wt,wt,,39,root,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424733,,PRJEB5314,ERS399922,SAMEA2342238,stem_Z32_rep2,14,Triticum aestivum,CS,wt,wt,,32,stem,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424734,,PRJEB5314,ERS399933,SAMEA2342249,grain_Z75_rep2,2,Triticum aestivum,CS,wt,wt,,75,grain,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424735,,PRJEB5314,ERS399953,SAMEA2342269,spike_Z39_rep2,11,Triticum aestivum,CS,wt,wt,,39,spike,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424739,,PRJEB5314,ERS399942,SAMEA2342258,stem_Z65_rep1,15,Triticum aestivum,CS,wt,wt,,65,stem,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424743,,PRJEB5314,ERS399937,SAMEA2342253,root_Z13_rep2,8,Triticum aestivum,CS,wt,wt,,13,root,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424748,,PRJEB5314,ERS399946,SAMEA2342262,stem_Z30_rep2,13,Triticum aestivum,CS,wt,wt,,30,stem,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424749,,PRJEB5314,ERS399938,SAMEA2342254,leaf_Z71_rep1,6,Triticum aestivum,CS,wt,wt,,71,leaf,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424750,,PRJEB5314,ERS399939,SAMEA2342255,grain_Z85_rep2,3,Triticum aestivum,CS,wt,wt,,85,grain,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424753,,PRJEB5314,ERS399952,SAMEA2342268,spike_Z39_rep1,11,Triticum aestivum,CS,wt,wt,,39,spike,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424754,,PRJEB5314,ERS399940,SAMEA2342256,leaf_Z71_rep2,6,Triticum aestivum,CS,wt,wt,,71,leaf,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424756,,PRJEB5314,ERS399932,SAMEA2342248,spike_Z32_rep2,10,Triticum aestivum,CS,wt,wt,,32,spike,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424758,,PRJEB5314,ERS399934,SAMEA2342250,spike_Z65_rep2,12,Triticum aestivum,CS,wt,wt,,65,spike,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424761,,PRJEB5314,ERS399935,SAMEA2342251,root_Z13_rep1,8,Triticum aestivum,CS,wt,wt,,13,root,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424762,,PRJEB5314,ERS399941,SAMEA2342257,stem_Z65_rep2,15,Triticum aestivum,CS,wt,wt,,65,stem,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424765,,PRJEB5314,ERS399948,SAMEA2342264,leaf_Z10_rep2,4,Triticum aestivum,CS,wt,wt,,10,leaf,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424767,,PRJEB5314,ERS399923,SAMEA2342239,stem_Z32_rep1,14,Triticum aestivum,CS,wt,wt,,32,stem,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424769,,PRJEB5314,ERS399954,SAMEA2342270,grain_Z71_rep2,1,Triticum aestivum,CS,wt,wt,,71,grain,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424770,,PRJEB5314,ERS399955,SAMEA2729887,root_Z10_rep1,7,Triticum aestivum,CS,wt,wt,,10,root,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424772,,PRJEB5314,ERS399943,SAMEA2342259,leaf_Z23_rep2,5,Triticum aestivum,CS,wt,wt,,23,leaf,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424774,,PRJEB5314,ERS399945,SAMEA2342261,leaf_Z23_rep1,5,Triticum aestivum,CS,wt,wt,,23,leaf,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424775,,PRJEB5314,ERS399936,SAMEA2342252,spike_Z32_rep1,10,Triticum aestivum,CS,wt,wt,,32,spike,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424776,,PRJEB5314,ERS399931,SAMEA2342247,grain_Z75_rep1,2,Triticum aestivum,CS,wt,wt,,75,grain,control,Illumina HiSeq 2000,paired,,,,,,
developmental time course series,25035497,ERR424777,,PRJEB5314,ERS399930,SAMEA2342246,root_Z10_rep2,7,Triticum aestivum,CS,wt,wt,,10,root,control,Illumina HiSeq 2000,paired,,,,,,
tf q,31778224,CRR078059,CRA002035,,,SAMC111102,BW1_1,1,Triticum aestivum,Bobwhite,wt,BW-Q,Waddington 5.5,,spike,control,Illumina HiSeq 2000,paired,,,,,,
tf q,31778224,CRR078085,CRA002035,,,SAMC111128,BWq1_3,4,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 5.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078084,CRA002035,,,SAMC111127,BWM3_1,9,Triticum aestivum,Bobwhite,mut,BW-Qmut,Waddington 9.0,,spike,mutant,Illumina HiSeq 2000,paired,,,,,,
tf q,31778224,CRR078083,CRA002035,,,SAMC111126,BWM2_1,8,Triticum aestivum,Bobwhite,mut,BW-Qmut,Waddington 7.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,,,
tf q,31778224,CRR078082,CRA002035,,,SAMC111125,BW2_1,2,Triticum aestivum,Bobwhite,wt,BW-Q,Waddington 7.5,,spike,control,Illumina HiSeq 2000,paired,,,,,,
tf q,31778224,CRR078081,CRA002035,,,SAMC111124,BWq3_3,6,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 9.0,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078080,CRA002035,,,SAMC111123,BWq3_2,6,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 9.0,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078079,CRA002035,,,SAMC111122,BWq3_1,6,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 9.0,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078078,CRA002035,,,SAMC111121,BWq2_3,5,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 7.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078077,CRA002035,,,SAMC111120,BWq2_2,5,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 7.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078076,CRA002035,,,SAMC111119,BWq2_1,5,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 7.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078075,CRA002035,,,SAMC111118,BWq1_2,4,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 5.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078074,CRA002035,,,SAMC111117,BWq1_1,4,Triticum aestivum,Bobwhite,mut,BW-q,Waddington 5.5,,spike,mutant,Illumina HiSeq 2000,paired,,,,early heading,,
tf q,31778224,CRR078073,CRA002035,,,SAMC111116,BWM3_3,9,Triticum aestivum,Bobwhite,mut,BW-Qmut,Waddington 9.0,,spike,mutant,Illumina HiSeq 2000,paired,,,,,,
