Run,Assay Type,AvgSpotLen,LibraryLayout,BioProject,Instrument,Cultivar,Sample Name,Organism,tissue,tissue PO,tissue PO name,Age,stage,stage PO,stage PO name,treatment,environmental ontology,environmental ontology name,replicate,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366266,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935047,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366267,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935048,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366268,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935048,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366269,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935048,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366270,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935048,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366271,RNA-Seq,180,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935049,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366272,RNA-Seq,180,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935049,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366273,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935049,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366274,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935049,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366275,RNA-Seq,180,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935050,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366276,RNA-Seq,180,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935050,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366277,RNA-Seq,180,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935050,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366278,RNA-Seq,180,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935050,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366279,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935051,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366280,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935051,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,C0_Z2-1,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366281,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935051,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366282,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935051,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
