Dataset,PMID,Run ID,BioProject_ID,SRA_sample_ID,BioSample_ID,Sample_name,Batch,Organism,Cultivar,GM,Genotype,Dev stage,Zadok_scale,Intermediate_age,High_level_age,Intermediate_tissue,High_level_tissue,Treatment,RNA_extraction,RNA_enrichment,RNA_input (microg),PCR_purification,Growth_condition,Day_night_condition,Temperature_day_night_c,Growth_location,Seq_location,Instrument,Library layout,PO dev general,PO dev narrow,PO tissue,Additional,Read length (bp)
photoperiod_mutant_preanthesis,26307377,ERR781049,PRJEB8748,ERS680791,SAMEA3304850,K_Apex_LD_S42-IL017_W2_6DAS_rep2,4,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 4.2 harvest time  6 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781050,PRJEB8748,ERS680792,SAMEA3304853,M_Leaf_LD_S42-IL017_W2_6DAS_rep1,5,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 5.1 harvest time  6 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781051,PRJEB8748,ERS680793,SAMEA3304880,N_Leaf_LD_S42-IL017_W2_6DAS_rep2,5,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 5.2 harvest time  6 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781052,PRJEB8748,ERS680794,SAMEA3304861,O_Leaf_LD_S42-IL017_W2_6DAS_rep3,5,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 5.3 harvest time  6 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781053,PRJEB8748,ERS680795,SAMEA3304882,P_Apex_LD_Scarlett_W2_9DAS_rep1,6,Hordeum vulgare,Scarlett,mut,ppd-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 6.1 harvest time  9 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781054,PRJEB8748,ERS680796,SAMEA3304864,Q_Apex_LD_Scarlett_W2_9DAS_rep2,6,Hordeum vulgare,Scarlett,mut,ppd-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 6.2 harvest time  9 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781055,PRJEB8748,ERS680797,SAMEA3304843,R_Apex_LD_Scarlett_W2_9DAS_rep3,6,Hordeum vulgare,Scarlett,mut,ppd-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 6.3 harvest time  9 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781056,PRJEB8748,ERS680798,SAMEA3304870,S_Apex_SD_S42-IL017_W2_16DAS_rep1,7,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 7.1 harvest time  16 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781057,PRJEB8748,ERS680799,SAMEA3304862,T_Apex_SD_S42-IL017_W2_16DAS_rep2,7,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 7.2 harvest time  16 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781058,PRJEB8748,ERS680800,SAMEA3304851,U_Apex_SD_S42-IL017_W2_16DAS_rep3,7,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 7.3 harvest time  16 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781059,PRJEB8748,ERS680801,SAMEA3304881,V_Apex_SD_S42-IL017_W1_7DAS_rep1,8,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 8.1 harvest time  7 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781060,PRJEB8748,ERS680802,SAMEA3304871,W_Apex_SD_S42-IL017_W1_7DAS_rep2,8,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 8.2 harvest time  7 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781061,PRJEB8748,ERS680803,SAMEA3304879,X_Apex_SD_S42-IL017_W1_7DAS_rep3,8,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 8.3 harvest time  7 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781062,PRJEB8748,ERS680804,SAMEA3304863,A1_Leaf_LD_Scarlett_W1_3DAS_rep1,9,Hordeum vulgare,Scarlett,mut,ppd-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 9.1 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781063,PRJEB8748,ERS680805,SAMEA3304869,B1_Leaf_LD_Scarlett_W1_3DAS_rep2,9,Hordeum vulgare,Scarlett,mut,ppd-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 9.2 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781064,PRJEB8748,ERS680806,SAMEA3304844,C1_Leaf_LD_Scarlett_W1_3DAS_rep3,9,Hordeum vulgare,Scarlett,mut,ppd-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 9.3 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781065,PRJEB8748,ERS680807,SAMEA3304866,D1_Leaf_LD_S42-IL107_W1_3DAS_rep1,10,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 10.1 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781066,PRJEB8748,ERS680808,SAMEA3304883,E1_Leaf_LD_S42-IL107_W1_3DAS_rep2,10,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 10.2 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781067,PRJEB8748,ERS680809,SAMEA3304860,F1_Leaf_LD_S42-IL107_W1_3DAS_rep3,10,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 10.3 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781068,PRJEB8748,ERS680810,SAMEA3304872,G1_Leaf_LD_Scarlett_W2_9DAS_rep1,11,Hordeum vulgare,Scarlett,mut,ppd-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 11.1 harvest time  9 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781069,PRJEB8748,ERS680811,SAMEA3304841,H1_Leaf_LD_Scarlett_W2_9DAS_rep2,11,Hordeum vulgare,Scarlett,mut,ppd-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 11.2 harvest time  9 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781070,PRJEB8748,ERS680812,SAMEA3304867,I1_Leaf_LD_Scarlett_W2_9DAS_rep3,11,Hordeum vulgare,Scarlett,mut,ppd-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 11.3 harvest time  9 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781071,PRJEB8748,ERS680813,SAMEA3304884,J1_Apex_LD_S42-IL107_W3.5_14DAS_rep1,12,Hordeum vulgare,S42-IL107,wt,PPD-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 12.1 harvest time  14 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781072,PRJEB8748,ERS680814,SAMEA3304858,K1_Apex_LD_S42-IL107_W3.5_14DAS_rep2,12,Hordeum vulgare,S42-IL107,wt,PPD-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 12.2 harvest time  14 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781073,PRJEB8748,ERS680815,SAMEA3304887,L1_Apex_LD_S42-IL107_W3.5_14DAS_rep3,12,Hordeum vulgare,S42-IL107,wt,PPD-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 12.3 harvest time  14 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781074,PRJEB8748,ERS680816,SAMEA3304842,M1_Leaf_SD_S42-IL107_W2_16DAS_rep1,13,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 13.1 harvest time  16 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781075,PRJEB8748,ERS680817,SAMEA3304865,N1_Leaf_SD_S42-IL107_W2_16DAS_rep2,13,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 13.2 harvest time  16 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781076,PRJEB8748,ERS680818,SAMEA3304849,O1_Leaf_SD_S42-IL107_W2_16DAS_rep3,13,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0006340,biological replication 13.3 harvest time  16 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781077,PRJEB8748,ERS680819,SAMEA3304856,P1_Apex_LD_Scarlett_W3.5_20DAS_rep1,14,Hordeum vulgare,Scarlett,mut,ppd-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 14.1 harvest time  20 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781078,PRJEB8748,ERS680820,SAMEA3304873,X1_Apex_LD_Scarlett_W3.5_20DAS_rep2,14,Hordeum vulgare,Scarlett,mut,ppd-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 14.2 harvest time  20 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781079,PRJEB8748,ERS680821,SAMEA3304855,Y1_Apex_LD_Scarlett_W3.5_20DAS_rep3,14,Hordeum vulgare,Scarlett,mut,ppd-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 14.3 harvest time  20 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781080,PRJEB8748,ERS680822,SAMEA3304877,Z1_Leaf_SD_S42-IL107_W1_7DAS_rep1,15,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 15.1 harvest time  7 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781081,PRJEB8748,ERS680823,SAMEA3304857,AA1_Leaf_SD_S42-IL107_W1_7DAS_rep2,15,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 15.2 harvest time  7 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781082,PRJEB8748,ERS680824,SAMEA3304848,AB1_Leaf_SD_S42-IL107_W1_7DAS_rep3,15,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,leaf,leaf,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0006339,biological replication 15.3 harvest time  7 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781083,PRJEB8748,ERS680825,SAMEA3304874,AC1_Apex_SD_S42-IL107_W3.5_50DAS_rep1,16,Hordeum vulgare,S42-IL107,wt,PPD-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 16.1 harvest time  50 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781084,PRJEB8748,ERS680826,SAMEA3304845,AD1_Apex_SD_S42-IL107_W3.5_50DAS_rep2,16,Hordeum vulgare,S42-IL107,wt,PPD-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,biological replication 16.2 harvest time  50 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781085,PRJEB8748,ERS680827,SAMEA3304868,AE1_Apex_SD_S42-IL107_W3.5_50DAS_rep3,16,Hordeum vulgare,S42-IL107,wt,PPD-H1,W3.5 floret primordium present - 1st spikelet,17,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007047,PO:0007025,PO:0000037,Biological replication 16.3 harvest time  50 photoperiod Short Day,100
drought,31829136,ERR1248084,PRJEB12540,ERS1044641,SAMEA3857507,Scarlett YI control 1/2,17,Hordeum vulgare,Scarlett,wt,wt,stage of developing flower,37,Floret_development,Reproductive,spike,inflorescence,control,unknown,unknown,unknown,unknown,incubator,controlled,controlled,Spain,Spain,Illumina HiSeq 2000,paired,PO:0007047,PO:0007025,PO:0030117,Scarlett young inflorescences (YI) control replicate 1/2 lane_sample(6_19),2*101
drought,31829136,ERR1248085,PRJEB12540,ERS1044642,SAMEA3857508,Scarlett YI control 2/2,17,Hordeum vulgare,Scarlett,wt,wt,stage of developing flower,37,Floret_development,Reproductive,spike,inflorescence,control,unknown,unknown,unknown,unknown,incubator,controlled,controlled,Spain,Spain,Illumina HiSeq 2000,paired,PO:0007047,PO:0007025,PO:0030117,Scarlett young inflorescences (YI) control replicate 2/2 lane sample(4_22),2*101
drought,31829136,ERR1248086,PRJEB12540,ERS1044643,SAMEA3857509,Scarlett YI drought 1/2,18,Hordeum vulgare,Scarlett,wt,wt,stage of developing flower,37,Floret_development,Reproductive,spike,inflorescence,drought,unknown,unknown,unknown,unknown,incubator,controlled,controlled,Spain,Spain,Illumina HiSeq 2000,paired,PO:0007047,PO:0007025,PO:0030117,Scarlett young inflorescences (YI) drought replicate 1/2 lane sample(6_18),2*101
drought,31829136,ERR1248087,PRJEB12540,ERS1044644,SAMEA3857510,Scarlett YI drought 2/2,18,Hordeum vulgare,Scarlett,wt,wt,stage of developing flower,37,Floret_development,Reproductive,spike,inflorescence,drought,unknown,unknown,unknown,unknown,incubator,controlled,controlled,Spain,Spain,Illumina HiSeq 2000,paired,PO:0007047,PO:0007025,PO:0030117,Scarlett young inflorescences (YI) drought replicate 2/2 lane sample(5_23),2*101
drought,31829136,ERR1248088,PRJEB12540,ERS1044645,SAMEA3857511,Scarlett YI greenhouse 1/2,19,Hordeum vulgare,Scarlett,wt,wt,stage of developing flower,37,Floret_development,Reproductive,spike,inflorescence,greenhouse,unknown,unknown,unknown,unknown,incubator,controlled,controlled,Spain,Spain,Illumina HiSeq 2000,paired,PO:0007047,PO:0007025,PO:0030117,Scarlett young inflorescences (YI) greenhouse replicate 1/2 lane sample(4_6),2*101
